ord,date,ADCO,OPTARIF,ISOUSC,HCHC,HCHP,PTEC,IINST,IMAX,TENSION,PAPP,HHPHC,MOTDETAT
0,2017-05-22 00:00:01.132525,030422000048,HC..,30,036461040,039723683,HC..,001,031,243,00150,A,000000
1,2017-05-22 00:00:03.342693,030422000048,HC..,30,036461040,039723683,HC..,001,031,242,00150,A,000000
2,2017-05-22 00:00:05.552538,030422000048,HC..,30,036461040,039723683,HC..,001,031,242,00140,A,000000
3,2017-05-22 00:00:07.763032,030422000048,HC..,30,036461040,039723683,HC..,001,031,242,00140,A,000000
4,2017-05-22 00:00:09.972840,030422000048,HC..,30,036461040,039723683,HC..,001,031,242,00130,A,000000
5,2017-05-22 00:00:12.183414,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00130,A,000000
6,2017-05-22 00:00:14.393540,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
7,2017-05-22 00:00:16.603621,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
8,2017-05-22 00:00:18.813620,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00130,A,000000
9,2017-05-22 00:00:21.023468,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00130,A,000000
10,2017-05-22 00:00:23.234222,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00120,A,000000
11,2017-05-22 00:00:25.443884,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00130,A,000000
12,2017-05-22 00:00:27.654357,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
13,2017-05-22 00:00:29.864278,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
14,2017-05-22 00:00:32.074411,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
15,2017-05-22 00:00:34.284571,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
16,2017-05-22 00:00:36.494418,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
17,2017-05-22 00:00:38.704746,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
18,2017-05-22 00:00:40.914751,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
19,2017-05-22 00:00:43.124951,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
20,2017-05-22 00:00:45.334852,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
21,2017-05-22 00:00:47.545534,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00140,A,000000
22,2017-05-22 00:00:49.755525,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00130,A,000000
23,2017-05-22 00:00:51.965720,030422000048,HC..,30,036461041,039723683,HC..,001,031,242,00120,A,000000
24,2017-05-22 00:00:54.176084,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00130,A,000000
25,2017-05-22 00:00:56.385928,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00130,A,000000
26,2017-05-22 00:00:58.595924,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00130,A,000000
27,2017-05-22 00:01:00.805976,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00140,A,000000
28,2017-05-22 00:01:03.016295,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00130,A,000000
29,2017-05-22 00:01:05.226449,030422000048,HC..,30,036461042,039723683,HC..,001,031,242,00140,A,000000
