ord,date,HCHC,HCHP,TENSION,PAPP
0,2017-05-23 00:00:01.811696,36464852,39727614,243,180
1,2017-05-23 00:00:04.022005,36464852,39727614,243,180
2,2017-05-23 00:00:06.231915,36464852,39727614,243,170
3,2017-05-23 00:00:08.442684,36464852,39727614,243,180
4,2017-05-23 00:00:10.652465,36464852,39727614,243,170
5,2017-05-23 00:00:12.862801,36464852,39727614,243,180
6,2017-05-23 00:00:15.072776,36464852,39727614,243,180
7,2017-05-23 00:00:17.282619,36464852,39727614,243,170
8,2017-05-23 00:00:19.493193,36464852,39727614,243,170
9,2017-05-23 00:00:21.703033,36464852,39727614,243,180
10,2017-05-23 00:00:23.913209,36464852,39727614,242,240
11,2017-05-23 00:00:26.123416,36464853,39727614,242,230
12,2017-05-23 00:00:28.333619,36464853,39727614,242,230
13,2017-05-23 00:00:30.543879,36464853,39727614,242,210
14,2017-05-23 00:00:32.753656,36464853,39727614,242,220
15,2017-05-23 00:00:34.964041,36464853,39727614,242,220
16,2017-05-23 00:00:37.173786,36464853,39727614,242,220
17,2017-05-23 00:00:39.384136,36464853,39727614,242,220
18,2017-05-23 00:00:41.594353,36464853,39727614,242,220
19,2017-05-23 00:00:43.804663,36464853,39727614,242,210
20,2017-05-23 00:00:46.014661,36464853,39727614,242,220
21,2017-05-23 00:00:48.224543,36464853,39727614,242,210
22,2017-05-23 00:00:50.435164,36464854,39727614,242,220
23,2017-05-23 00:00:52.645125,36464854,39727614,242,220
24,2017-05-23 00:00:54.855297,36464854,39727614,242,220
25,2017-05-23 00:00:57.065117,36464854,39727614,242,210
26,2017-05-23 00:00:59.275477,36464854,39727614,242,210
27,2017-05-23 00:01:01.485580,36464854,39727614,242,210
28,2017-05-23 00:01:03.695598,36464854,39727614,242,210
29,2017-05-23 00:01:05.905791,36464854,39727614,242,210
30,2017-05-23 00:01:08.115832,36464854,39727614,242,210
31,2017-05-23 00:01:10.326018,36464854,39727614,242,210
32,2017-05-23 00:01:12.536204,36464854,39727614,242,210
33,2017-05-23 00:01:14.746568,36464855,39727614,242,220
34,2017-05-23 00:01:16.956514,36464855,39727614,242,220
35,2017-05-23 00:01:19.166445,36464855,39727614,243,220
36,2017-05-23 00:01:21.376954,36464855,39727614,242,220
37,2017-05-23 00:01:23.586982,36464855,39727614,242,220
38,2017-05-23 00:01:25.796932,36464855,39727614,243,210
39,2017-05-23 00:01:28.007045,36464855,39727614,243,210
40,2017-05-23 00:01:30.217351,36464855,39727614,243,220
41,2017-05-23 00:01:32.427474,36464855,39727614,243,240
42,2017-05-23 00:01:34.637377,36464855,39727614,242,220
43,2017-05-23 00:01:36.847815,36464855,39727614,242,210
44,2017-05-23 00:01:39.057684,36464856,39727614,242,210
45,2017-05-23 00:01:41.267869,36464856,39727614,242,210
46,2017-05-23 00:01:43.478126,36464856,39727614,242,210
47,2017-05-23 00:01:45.688441,36464856,39727614,242,220
48,2017-05-23 00:01:47.898422,36464856,39727614,242,220
49,2017-05-23 00:01:50.108318,36464856,39727614,242,220
50,2017-05-23 00:01:52.318821,36464856,39727614,242,210
51,2017-05-23 00:01:54.528714,36464856,39727614,241,210
52,2017-05-23 00:01:56.739117,36464856,39727614,240,220
53,2017-05-23 00:01:58.949079,36464856,39727614,242,220
54,2017-05-23 00:02:01.159232,36464856,39727614,242,210
55,2017-05-23 00:02:03.369403,36464856,39727614,242,220
56,2017-05-23 00:02:05.579220,36464857,39727614,242,220
57,2017-05-23 00:02:07.789530,36464857,39727614,242,220
58,2017-05-23 00:02:09.999380,36464857,39727614,242,210
59,2017-05-23 00:02:12.210108,36464857,39727614,242,210
60,2017-05-23 00:02:14.420017,36464857,39727614,242,220
61,2017-05-23 00:02:16.630343,36464857,39727614,242,210
62,2017-05-23 00:02:18.840313,36464857,39727614,242,220
63,2017-05-23 00:02:21.050340,36464857,39727614,242,210
64,2017-05-23 00:02:23.260887,36464857,39727614,242,210
65,2017-05-23 00:02:25.470728,36464857,39727614,242,210
66,2017-05-23 00:02:27.680692,36464857,39727614,242,220
67,2017-05-23 00:02:29.890603,36464858,39727614,242,220
68,2017-05-23 00:02:32.101112,36464858,39727614,242,220
69,2017-05-23 00:02:34.311264,36464858,39727614,242,220
70,2017-05-23 00:02:36.525724,36464858,39727614,242,220
71,2017-05-23 00:02:38.731521,36464858,39727614,242,210
72,2017-05-23 00:02:40.941298,36464858,39727614,242,240
73,2017-05-23 00:02:43.152026,36464858,39727614,242,210
74,2017-05-23 00:02:45.361524,36464858,39727614,242,210
75,2017-05-23 00:02:47.572205,36464858,39727614,242,210
76,2017-05-23 00:02:49.782181,36464858,39727614,242,210
77,2017-05-23 00:02:51.992342,36464858,39727614,242,210
78,2017-05-23 00:02:54.202752,36464859,39727614,242,210
79,2017-05-23 00:02:56.412620,36464859,39727614,242,210
80,2017-05-23 00:02:58.622644,36464859,39727614,242,220
81,2017-05-23 00:03:00.832449,36464859,39727614,242,220
82,2017-05-23 00:03:03.042988,36464859,39727614,242,220
83,2017-05-23 00:03:05.253276,36464859,39727614,242,210
84,2017-05-23 00:03:07.463082,36464859,39727614,242,220
85,2017-05-23 00:03:09.673456,36464859,39727614,242,210
86,2017-05-23 00:03:11.883272,36464859,39727614,242,210
87,2017-05-23 00:03:14.093538,36464859,39727614,242,210
88,2017-05-23 00:03:16.303373,36464859,39727614,242,220
89,2017-05-23 00:03:18.514064,36464859,39727614,242,210
90,2017-05-23 00:03:20.724071,36464860,39727614,242,210
91,2017-05-23 00:03:22.933897,36464860,39727614,241,210
92,2017-05-23 00:03:25.144489,36464860,39727614,242,210
93,2017-05-23 00:03:27.354483,36464860,39727614,241,210
94,2017-05-23 00:03:29.564465,36464860,39727614,242,220
95,2017-05-23 00:03:31.774525,36464860,39727614,242,220
96,2017-05-23 00:03:33.984835,36464860,39727614,242,220
97,2017-05-23 00:03:36.194986,36464860,39727614,242,220
98,2017-05-23 00:03:38.404851,36464860,39727614,242,210
99,2017-05-23 00:03:40.615379,36464860,39727614,242,220
100,2017-05-23 00:03:42.825212,36464860,39727614,242,220
101,2017-05-23 00:03:45.035406,36464861,39727614,242,220
102,2017-05-23 00:03:47.245608,36464861,39727614,242,220
103,2017-05-23 00:03:49.455990,36464861,39727614,242,220
104,2017-05-23 00:03:51.666023,36464861,39727614,242,210
105,2017-05-23 00:03:53.875789,36464861,39727614,242,210
106,2017-05-23 00:03:56.086497,36464861,39727614,242,210
107,2017-05-23 00:03:58.296345,36464861,39727614,242,210
108,2017-05-23 00:04:00.506336,36464861,39727614,242,210
109,2017-05-23 00:04:02.716179,36464861,39727614,242,210
110,2017-05-23 00:04:04.926772,36464861,39727614,242,210
111,2017-05-23 00:04:07.136876,36464861,39727614,242,210
112,2017-05-23 00:04:09.346749,36464862,39727614,242,210
113,2017-05-23 00:04:11.557215,36464862,39727614,242,210
114,2017-05-23 00:04:13.766903,36464862,39727614,242,210
115,2017-05-23 00:04:15.977922,36464862,39727614,241,220
116,2017-05-23 00:04:18.187688,36464862,39727614,242,220
117,2017-05-23 00:04:20.397840,36464862,39727614,242,220
118,2017-05-23 00:04:22.607974,36464862,39727614,242,220
119,2017-05-23 00:04:24.817692,36464862,39727614,242,210
120,2017-05-23 00:04:27.028366,36464862,39727614,242,210
121,2017-05-23 00:04:29.237924,36464862,39727614,242,210
122,2017-05-23 00:04:31.448647,36464862,39727614,242,210
123,2017-05-23 00:04:33.658484,36464863,39727614,242,210
124,2017-05-23 00:04:35.868798,36464863,39727614,242,220
125,2017-05-23 00:04:38.078932,36464863,39727614,242,220
126,2017-05-23 00:04:40.288624,36464863,39727614,242,210
