ord,date,HCHC,HCHP,PTEC,TENSION,PAPP
0,2017-05-26 00:00:01.785699,36478027,39739780,HC..,240,210
1,2017-05-26 00:00:03.995920,36478027,39739780,HC..,239,210
2,2017-05-26 00:00:06.205910,36478027,39739780,HC..,240,210
3,2017-05-26 00:00:08.416135,36478028,39739780,HC..,240,220
4,2017-05-26 00:00:10.626571,36478028,39739780,HC..,240,210
5,2017-05-26 00:00:12.836745,36478028,39739780,HC..,240,210
6,2017-05-26 00:00:15.046763,36478028,39739780,HC..,240,220
7,2017-05-26 00:00:17.256495,36478028,39739780,HC..,240,220
8,2017-05-26 00:00:19.467171,36478028,39739780,HC..,240,210
9,2017-05-26 00:00:21.677042,36478028,39739780,HC..,239,200
10,2017-05-26 00:00:23.887405,36478028,39739780,HC..,239,200
11,2017-05-26 00:00:26.096917,36478028,39739780,HC..,239,210
12,2017-05-26 00:00:28.307465,36478029,39739780,HC..,239,210
13,2017-05-26 00:00:30.517579,36478029,39739780,HC..,239,210
14,2017-05-26 00:00:32.727415,36478029,39739780,HC..,239,210
15,2017-05-26 00:00:34.937892,36478029,39739780,HC..,239,210
16,2017-05-26 00:00:37.147573,36478029,39739780,HC..,239,210
17,2017-05-26 00:00:39.357906,36478029,39739780,HC..,239,210
18,2017-05-26 00:00:41.568445,36478029,39739780,HC..,239,210
19,2017-05-26 00:00:43.778630,36478030,39739780,HC..,239,210
20,2017-05-26 00:00:45.988589,36478030,39739780,HC..,239,210
21,2017-05-26 00:00:48.198417,36478030,39739780,HC..,239,210
22,2017-05-26 00:00:50.408895,36478030,39739780,HC..,239,220
23,2017-05-26 00:00:52.618745,36478030,39739780,HC..,239,210
24,2017-05-26 00:00:54.828871,36478030,39739780,HC..,239,210
25,2017-05-26 00:00:57.039073,36478030,39739780,HC..,239,210
26,2017-05-26 00:00:59.249378,36478030,39739780,HC..,239,210
27,2017-05-26 00:01:01.459390,36478031,39739780,HC..,239,210
28,2017-05-26 00:01:03.669334,36478031,39739780,HC..,239,200
29,2017-05-26 00:01:05.879557,36478031,39739780,HC..,239,200
30,2017-05-26 00:01:08.089527,36478031,39739780,HC..,239,210
31,2017-05-26 00:01:10.299779,36478031,39739780,HC..,239,210
32,2017-05-26 00:01:12.509614,36478031,39739780,HC..,239,210
33,2017-05-26 00:01:14.720285,36478031,39739780,HC..,239,210
34,2017-05-26 00:01:16.930394,36478031,39739780,HC..,239,210
35,2017-05-26 00:01:19.140300,36478031,39739780,HC..,239,210
36,2017-05-26 00:01:21.350484,36478032,39739780,HC..,239,210
37,2017-05-26 00:01:23.560535,36478032,39739780,HC..,239,210
38,2017-05-26 00:01:25.770693,36478032,39739780,HC..,239,210
39,2017-05-26 00:01:27.980545,36478032,39739780,HC..,239,200
40,2017-05-26 00:01:30.191057,36478032,39739780,HC..,239,210
41,2017-05-26 00:01:32.401188,36478032,39739780,HC..,239,200
42,2017-05-26 00:01:34.611140,36478032,39739780,HC..,239,210
43,2017-05-26 00:01:36.821357,36478032,39739780,HC..,239,210
44,2017-05-26 00:01:39.031383,36478033,39739780,HC..,239,200
45,2017-05-26 00:01:41.241952,36478033,39739780,HC..,239,210
46,2017-05-26 00:01:43.451792,36478033,39739780,HC..,239,210
47,2017-05-26 00:01:45.662109,36478033,39739780,HC..,239,200
48,2017-05-26 00:01:47.872115,36478033,39739780,HC..,239,210
49,2017-05-26 00:01:50.082040,36478033,39739780,HC..,239,210
50,2017-05-26 00:01:52.292608,36478033,39739780,HC..,239,210
51,2017-05-26 00:01:54.502518,36478034,39739780,HC..,239,210
52,2017-05-26 00:01:56.712494,36478034,39739780,HC..,239,210
53,2017-05-26 00:01:58.922342,36478034,39739780,HC..,239,210
54,2017-05-26 00:02:01.132933,36478034,39739780,HC..,238,210
55,2017-05-26 00:02:03.343161,36478034,39739780,HC..,238,210
56,2017-05-26 00:02:05.552960,36478034,39739780,HC..,239,200
57,2017-05-26 00:02:07.763155,36478034,39739780,HC..,239,200
58,2017-05-26 00:02:09.973160,36478034,39739780,HC..,239,210
59,2017-05-26 00:02:12.183426,36478034,39739780,HC..,239,210
60,2017-05-26 00:02:14.393260,36478035,39739780,HC..,239,210
61,2017-05-26 00:02:16.603975,36478035,39739780,HC..,238,200
62,2017-05-26 00:02:18.813935,36478035,39739780,HC..,238,200
63,2017-05-26 00:02:21.023910,36478035,39739780,HC..,238,230
64,2017-05-26 00:02:23.234426,36478035,39739780,HC..,239,210
65,2017-05-26 00:02:25.444330,36478035,39739780,HC..,239,220
66,2017-05-26 00:02:27.654314,36478035,39739780,HC..,238,220
67,2017-05-26 00:02:29.864169,36478035,39739780,HC..,238,210
68,2017-05-26 00:02:32.074688,36478036,39739780,HC..,238,200
69,2017-05-26 00:02:34.284814,36478036,39739780,HC..,238,210
70,2017-05-26 00:02:36.494814,36478036,39739780,HC..,239,210
71,2017-05-26 00:02:38.705024,36478036,39739780,HC..,239,210
72,2017-05-26 00:02:40.915024,36478036,39739780,HC..,238,220
73,2017-05-26 00:02:43.125242,36478036,39739780,HC..,238,210
74,2017-05-26 00:02:45.335438,36478036,39739780,HC..,238,200
75,2017-05-26 00:02:47.545798,36478036,39739780,HC..,238,210
76,2017-05-26 00:02:49.755730,36478037,39739780,HC..,238,210
77,2017-05-26 00:02:51.965630,36478037,39739780,HC..,238,210
78,2017-05-26 00:02:54.176262,36478037,39739780,HC..,238,200
79,2017-05-26 00:02:56.385995,36478037,39739780,HC..,238,210
80,2017-05-26 00:02:58.596547,36478037,39739780,HC..,238,210
81,2017-05-26 00:03:00.806487,36478037,39739780,HC..,238,200
82,2017-05-26 00:03:03.016533,36478037,39739780,HC..,238,200
83,2017-05-26 00:03:05.226770,36478037,39739780,HC..,238,210
84,2017-05-26 00:03:07.436544,36478038,39739780,HC..,238,210
